Time,Amb pressure (PSI),Accel Ped. Pos. (%),Boost (PSI),Boost target (PSI),Coolant (*C),Exhaust flap status,Gear (-),IAT (*C),Lambda bank 1 (AFR),Load act. (%),Load req. (%),MAF (g/s),Oil temp (*C),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),Speed (km/h),STFT 1 (%),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),Torque act. clutch (Nm),Transmission temp (*C),WGDC (%),Boost setpoint factor,Boost target RAM (PSI),Compressor after P-D (kW),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Load actual RAM,MAF REQ (P corr.) (g/s),MAF req. WGDC (g/s),Mdk_max_gs (NM),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),MHD version 3.87 000021571DAA01 v1.08 stg2 plus 93_98
74.512,14.62,100,15.4,15.5,91,0,5,34,12.21,162,168.3,330.3,95,2489.2,2465.7,6334,196,-8.8,99.9,8.8,8.8,8.8,8.8,8.8,8.8,486,63,86,2.32,15.9,34.3,0,0,0,0,0,0,162.3,370.84,383.08,1000,0,0,0,0
74.620,14.62,100,15.2,15.8,91,0,5,34,12.39,164.2,167.6,336.8,95,2482.1,2465.7,6354,197,-7.9,99.9,8.8,8.8,8.8,8.8,8.8,8.8,476,63,87.5,2.31,15.4,33,0,0,0,0,0,0,164.1,371.49,383.55,1000,0,0,0,0
74.716,14.62,100,15.4,15.7,91,0,5,34,12.2,160.5,167.2,330.7,95,2463.8,2465.7,6375,197,-8.8,99.9,8.8,6,8.8,8.8,8.8,8.8,480,63,86.8,2.31,15.8,34.5,0,-3,0,0,0,0,160.9,371.1,384,1000,0,0,0,0
74.817,14.62,100,15.3,15.4,92,0,5,34,12.32,162.8,166.4,336.5,95,2480.4,2465.7,6385,198,-8.1,99.9,8.8,6,8.8,8.8,8.8,8.8,472,63,86.2,2.31,15.4,33.3,-3,-3,0,0,0,0,162.4,371.6,384.41,1000,0,0,0,0
74.919,14.62,100,15.3,15.4,92,0,5,34,12.37,162,165.9,335.5,95,2455.5,2465.7,6412,198,-8.4,99.9,6,6,8.7,8.7,8.7,8.7,466,63,86.2,2.3,15.3,33,-3,-3,0,0,0,0,162.8,372.09,384.8,1000,0,0,0,0
75.011,14.62,100,15.3,15.3,92,0,5,34,12.29,162,165.4,336.7,95,2463.2,2465.7,6455,199,-9,99.9,6,6,8.8,8.8,8.8,8.8,466,63,85.8,2.3,15.3,33,-3,-2.7,0,0,0,0,161.8,371.81,385.15,1000,0,0,0,0
75.164,14.62,0,16.4,3.5,92,0,5,34,11.78,123,85,257.6,95,2522.6,2516.6,6404,200,0,31.4,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,367,63,82.3,1.98,0,20.4,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,106.3,124.14,302.19,1000,0,0,0,0
75.277,14.62,0,15.2,0,92,0,5,34,19.94,93.8,26.6,193.9,95,2360.1,2209.5,6281,200,0,29.1,-12,-12,-12,-12,-12,-12,-42,63,88.4,1.11,0,2.8,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,78.3,68.26,179.5,1000,0,0,0,0
75.376,14.62,0,12.5,0,92,0,5,34,28.49,74.2,27.1,151.8,95,2183.7,2177.2,6344,199,0,27.7,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-44,63,81.2,1,0,1,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,68.4,65.21,123.15,1000,0,0,0,0
75.480,14.62,0,9.9,0.1,92,0,5,34,29.7,62.2,27,128.1,95,2128.1,2175.8,6360,198,0,25.7,-8,-8,-8,-8,-8,-8,-43,63,81.3,1,0.9,0.5,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,55.4,63.12,92.87,1000,0,0,0,0
75.584,14.62,0,8,0.9,92,0,5,35,29.1,48.8,26.7,99.9,95,2186.2,2175.8,6302,198,0,23.7,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-44,63,81.4,1.05,0.8,0.4,0,0,0,0,0,0,43.2,61.25,76.44,1000,0,0,0,0
75.688,14.62,0,6.7,0.4,92,0,5,35,28.4,38.2,26.8,76.7,95,2225.2,2175.8,6300,197,0,20.8,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-43,63,81.5,1.04,0.3,0.3,0,0,0,0,0,0,33.4,59.24,67.64,1000,0,0,0,0
75.788,14.62,0,5.6,0,92,0,5,35,28.92,28.5,26.6,58.4,95,2207.8,2175.8,6269,197,0,18.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-46,63,81.5,1.01,0,0.2,0,0,0,0,0,0,25,57.73,62.75,1000,0,0,0,0
75.884,14.62,0,4.9,0,92,0,5,35,29.97,23.2,26.7,47.5,96,2217.3,2175.8,6267,196,0,14.3,1.5,1.5,1.5,1.5,1.5,1.5,-48,63,81.5,1,0,0.2,0,0,0,0,0,0,22.6,56.97,60.07,1000,0,0,0,0
76.000,14.62,0,4,0,92,0,5,35,32.88,22.5,26.6,46.7,96,2242.3,2175.8,6244,196,0,15.9,1.5,1.5,1.5,1.5,1.5,1.5,-62,63,81.5,1,0,0.2,0,0,0,0,0,0,24.1,56.88,58.28,1000,0,0,0,0
76.108,14.62,0,3.2,0,92,0,5,35,60.16,24,26.6,48.8,96,2258.4,2175.8,6220,195,0,17.6,1.5,1.5,1.5,1.5,1.5,1.5,-62,63,81.5,1,0,0.2,0,0,0,0,0,0,24.5,56.75,57.45,1000,0,0,0,0
76.208,14.62,0,2.8,0,92,0,5,35,83.7,24,26.6,49.2,96,2269.8,2175.8,6195,194,0,18,1.5,1.5,1.5,1.5,1.5,1.5,-61,63,81.5,1,0,0.2,0,0,0,0,0,0,24.7,56.54,56.9,1000,0,0,0,0
76.308,14.62,0,2.5,0,92,0,5,35,91.8,24.8,26.6,49.9,96,2279.4,2175.8,6180,194,0,18.7,1,1,1,1,1,1,-61,63,81.6,1,0,0.2,0,0,0,0,0,0,25.1,56.42,56.52,1000,0,0,0,0
76.408,14.62,0,2.2,0,92,0,5,35,99.22,24.8,26.6,50.3,96,2289.1,2175.8,6174,193,0,18.7,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.2,56.37,56.26,1000,0,0,0,0
76.504,14.62,0,2.1,0,92,0,5,35,108.34,25.5,26.5,50.6,96,2297.6,2175.8,6132,192,0,19.2,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.6,56.09,56.02,1000,0,0,0,0
76.620,14.62,0,1.9,0,92,0,5,34,115.77,25.5,26.5,50.6,96,2306.5,2175.8,6123,192,0,19.4,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.6,55.94,55.77,1000,0,0,0,0
76.725,14.62,0,1.7,0,92,0,5,34,120.8,25.5,26.5,50.4,96,2315.6,2175.8,6088,191,0,19.7,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.7,55.73,55.6,1000,0,0,0,0
76.829,14.62,0,1.6,0,92,0,5,34,122.47,25.5,26.5,50.4,96,2323.1,2175.8,6080,191,0,19.8,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,55.54,55.4,1000,0,0,0,0
76.936,14.62,0,1.6,0,92,0,5,34,125.81,25.5,26.5,50.4,96,2330.9,2175.8,6062,190,0,19.9,1,1,1,1,1,1,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,55.39,55.2,1000,0,0,0,0
77.024,14.62,0,1.5,0,92,0,5,34,132.48,25.5,26.5,50.3,96,2339.8,2175.8,6060,190,0,20,0.5,0.5,0.5,0.5,0.5,0.5,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.9,55.28,55.06,1000,0,0,0,0
77.120,14.62,0,1.5,0,92,0,5,34,131.65,25.5,26.5,50.3,96,2344.8,2175.8,6038,189,0,20,0.5,0.5,0.5,0.5,0.5,0.5,-60,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,55.1,54.92,1000,0,0,0,0
77.228,14.62,0,1.4,0,92,0,5,34,135.82,25.5,26.5,50.3,96,2351.8,2175.8,6012,189,0,20.1,0.5,0.5,0.5,0.5,0.5,0.5,-59,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,54.87,54.73,1000,0,0,0,0
77.322,14.62,0,1.4,0,92,0,5,34,142.5,25.5,26.5,49.8,96,2358.5,2175.8,5994,188,0,20.1,0,0,0,0,0,0,-59,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,54.67,54.54,1000,0,0,0,0
77.425,14.62,0,1.3,0,92,0,5,34,144.17,25.5,26.5,49.8,96,2364.8,2175.8,5996,188,0,20.1,0,0,0,0,0,0,-59,63,81.6,1,0,0.2,0,0,0,0,0,0,25.8,54.61,54.37,1000,0,0,0,0
77.512,14.62,0,1.3,0,92,0,5,34,147.51,25.5,26.5,49.7,96,2370.6,2175.8,5966,187,0,20.1,0,0,0,0,0,0,-58,63,81.9,1,0,0.2,0,0,0,0,0,0,25.9,54.48,54.25,1000,0,0,0,0
77.616,14.62,0,1.3,0,92,0,5,34,146.68,25.5,26.5,49.8,96,2375.3,2175.8,5954,187,0,20.1,0,0,0,0,0,0,-58,63,82,1,0,0.2,0,0,0,0,0,0,25.9,54.29,54.09,1000,0,0,0,0
77.716,14.62,0,1.3,0,92,0,5,34,148.35,25.5,26.5,49.8,96,2380.7,2175.8,5930,186,0,20,0,0,0,0,0,0,-58,63,82.1,1,0,0.2,0,0,0,0,0,0,25.9,54.11,53.93,1000,0,0,0,0
77.821,14.62,0,1.3,0,92,0,5,34,155.02,25.5,26.4,49.3,96,2386.5,2175.8,5887,185,0,20,0,0,0,0,0,0,-58,63,82.6,1,0,0.2,0,0,0,0,0,0,25.8,53.82,53.72,1000,0,0,0,0
77.928,14.62,0,1.2,0,92,0,5,34,157.53,25.5,26.5,49.1,96,2392.5,2175.8,5902,185,0,19.9,0,0,0,0,0,0,-58,63,82.5,1,0,0.2,0,0,0,0,0,0,25.8,53.76,53.55,1000,0,0,0,0
78.028,14.61,0,1.2,0,92,0,5,34,158.36,25.5,26.4,49,96,2399.1,2175.8,5875,184,0,19.9,0,0,0,0,0,0,-58,63,82.8,1,0,0.2,0,0,0,0,0,0,25.9,53.58,53.4,1000,0,0,0,0
78.128,14.61,0,1.2,0,92,0,5,34,156.69,25.5,26.4,49,96,2403.2,2175.8,5866,184,0,19.8,0,0,0,0,0,0,-58,63,82.9,1,0,0.2,0,0,0,0,0,0,25.9,53.39,53.23,1000,0,0,0,0
78.224,14.61,0,1.3,0,92,0,5,34,157.53,25.5,26.4,49.1,96,2408.2,2175.8,5820,183,0,19.5,0,0,0,0,0,0,-58,63,83.2,1,0,0.2,0,0,0,0,0,0,26.1,53.18,53.04,1000,0,0,0,0
78.324,14.61,0,1.4,0,92,0,5,34,168.23,25.5,26.4,49,96,2412.9,2175.8,5827,183,0,19.3,0,0,0,0,0,0,-57,63,83.2,1,0,0.2,0,0,0,0,0,0,26,53.06,52.85,1000,0,0,0,0
78.424,14.61,0,1.4,0,92,0,5,34,173.12,25.5,26.4,48.8,96,2418.1,2175.8,5805,182,0,19.2,0,0,0,0,0,0,-57,63,83.4,1,0,0.2,0,0,0,0,0,0,26.1,52.94,52.71,1000,0,0,0,0
78.525,14.61,0,1.4,0,92,0,5,34,169.86,25.5,26.4,48.7,96,2422.4,2175.8,5788,181,0,19.1,0,0,0,0,0,0,-57,63,83.6,1,0,0.2,0,0,0,0,0,0,26.1,52.72,52.53,1000,0,0,0,0
78.612,14.61,0,1.4,0,92,0,5,34,171.49,25.5,26.4,48.8,96,2427.6,2175.8,5775,181,0,19,0,0,0,0,0,0,-56,63,83.7,1,0,0.2,0,0,0,0,0,0,26.2,52.64,52.38,1000,0,0,0,0
78.721,14.61,0,1.4,0,92,0,5,34,173.12,25.5,26.4,48.1,96,2432.6,2175.8,5748,180,0,19,0,0,0,0,0,0,-56,63,83.9,1,0,0.2,0,0,0,0,0,0,25.9,52.28,52.21,1000,0,0,0,0
78.820,14.61,0,1.4,0,92,0,5,34,174.76,25.5,26.4,48,96,2436.7,2175.8,5706,180,0,18.9,0,0,0,0,0,0,-56,63,84.3,1,0,0.2,0,0,0,0,0,0,26,52.06,51.97,1000,0,0,0,0
78.920,14.61,0,1.4,0,92,0,5,34,174.76,25.5,26.4,47.8,97,2442.1,2175.8,5725,179,0,18.8,0,0,0,0,0,0,-56,63,84.2,1,0,0.2,0,0,0,0,0,0,25.8,52.01,51.78,1000,0,0,0,0
79.028,14.61,0,1.4,0,92,0,5,34,181.28,25.5,26.4,47.3,97,2447.7,2175.8,5694,179,0,18.8,0,0,0,0,0,0,-56,63,84.4,1,0,0.2,0,0,0,0,0,0,25.8,51.84,51.65,1000,0,0,0,0
79.116,14.61,0,1.4,0,92,0,5,34,179.65,25.5,26.4,47.2,97,2451.1,2175.8,5702,178,0,18.7,0,0,0,0,0,0,-56,63,84.4,1,0,0.2,0,0,0,0,0,0,25.8,51.74,51.55,1000,0,0,0,0
79.212,14.61,0,1.4,0,93,0,5,34,184.55,25.5,26.4,47.3,97,2455.7,2175.8,5662,178,0,18.7,0,0,0,0,0,0,-56,63,84.6,1,0,0.2,0,0,0,0,0,0,25.9,51.54,51.43,1000,0,0,0,0
79.320,14.61,0,1.4,0,93,0,5,34,182.91,25.5,26.4,47.2,97,2459.6,2175.8,5646,177,0,18.6,0,0,0,0,0,0,-55,63,84.9,1,0,0.2,0,0,0,0,0,0,25.9,51.34,51.26,1000,0,0,0,0
79.428,14.61,0,1.4,0,93,0,5,34,184.55,25.5,26.4,46.9,97,2464.3,2175.8,5638,177,0,18.5,0,0,0,0,0,0,-55,63,85.1,1,0,0.2,0,0,0,0,0,0,25.7,51.22,51.1,1000,0,0,0,0
79.528,14.61,0,1.4,0,93,0,5,34,192.7,25.5,26.4,46.5,97,2469.3,2175.8,5618,176,0,18.4,0,0,0,0,0,0,-55,63,85.1,1,0,0.2,0,0,0,0,0,0,25.7,51.06,50.95,1000,0,0,0,0
79.628,14.61,0,1.4,0,93,0,5,34,182.91,25.5,26.4,46.5,97,2473.5,2175.8,5611,176,0,18.4,0,0,0,0,0,0,-54,63,85.3,1,0,0.2,0,0,0,0,0,0,25.7,50.95,50.81,1000,0,0,0,0
79.724,14.61,0,1.4,0,93,0,5,34,189.44,25.5,26.4,46.5,97,2476.4,2175.8,5575,175,0,18.4,-1,-1,-1,-1,-1,-1,-54,63,85.6,1,0,0.2,0,0,0,0,0,0,25.8,50.76,50.67,1000,0,0,0,0
79.824,14.61,0,1.5,0,93,0,5,34,187.81,25.5,26.4,46.4,97,2480.9,2175.8,5556,174,0,18.3,-1,-1,-1,-1,-1,-1,-54,63,85.7,1,0,0.2,0,0,0,0,0,0,25.9,50.54,50.48,1000,0,0,0,0
79.912,14.61,0,1.5,0,93,0,5,34,191.07,25.5,26.3,46.3,97,2485.4,2175.8,5566,174,0,18.2,-1,-1,-1,-1,-1,-1,-54,63,85.7,1,0,0.2,0,0,0,0,0,0,25.9,50.46,50.32,1000,0,0,0,0
80.016,14.61,0,1.5,0,93,0,5,34,199.23,25.5,26.3,46.3,97,2489.2,2175.8,5542,173,0,18.2,-1,-1,-1,-1,-1,-1,-54,63,85.9,1,0,0.2,0,0,0,0,0,0,25.9,50.31,50.19,1000,0,0,0,0
80.117,14.61,0,1.5,0,93,0,5,34,194.34,25.5,26.3,46.2,97,2492.2,2175.8,5524,173,0,18.2,-1,-1,-1,-1,-1,-1,-54,63,86,1,0,0.2,0,0,0,0,0,0,26,50.16,50.03,1000,0,0,0,0
80.212,14.61,0,1.4,0,93,0,5,34,199.23,25.5,26.3,46,97,2496.5,2175.8,5508,173,0,18.2,-1,-1,-1,-1,-1,-1,-54,63,86.2,1,0,0.2,0,0,0,0,0,0,26,50.03,49.88,1000,0,0,0,0
80.301,14.61,0,1.5,0,93,0,5,34,205.76,25.5,26.3,46.1,97,2500.5,2175.8,5497,172,0,18.1,-1,-1,-1,-1,-1,-1,-54,63,86.3,1,0,0.2,0,0,0,0,0,0,26,49.95,49.78,1000,0,0,0,0
80.404,14.61,0,1.5,0,93,0,5,34,189.44,25.5,26.3,46,97,2503.4,2175.8,5476,171,0,18,-1,-1,-1,-1,-1,-1,-54,63,86.5,1,0,0.2,0,0,0,0,0,0,26.1,49.75,49.62,1000,0,0,0,0
80.500,14.61,0,1.5,0,93,0,5,34,192.7,25.5,26.3,45.9,97,2508.2,2175.8,5448,171,0,17.9,-1,-1,-1,-1,-1,-1,-53,63,86.8,1,0,0.2,0,0,0,0,0,0,26.1,49.5,49.43,1000,0,0,0,0
80.592,14.61,0,1.5,0,93,0,5,34,199.23,25.5,26.3,45.8,97,2510.8,2175.8,5460,171,0,17.9,-1,-1,-1,-1,-1,-1,-53,63,86.8,1,0,0.2,0,0,0,0,0,0,26.1,49.44,49.26,1000,0,0,0,0
80.685,14.61,0,1.5,0,93,0,5,34,195.97,25.5,26.3,45.8,97,2514.4,2175.8,5434,170,0,18,-1,-1,-1,-1,-1,-1,-53,63,86.9,1,0,0.2,0,0,0,0,0,0,26.1,49.38,49.16,1000,0,0,0,0
80.784,14.61,0,1.5,0,93,0,5,34,202.49,25.5,26.3,45.7,97,2518.4,2175.8,5415,170,0,17.9,-1,-1,-1,-1,-1,-1,-53,63,87.1,1,0,0.2,0,0,0,0,0,0,26.2,49.22,49.04,1000,0,0,0,0
80.904,14.61,0,1.5,0,93,0,5,34,207.39,26.2,26.3,45.6,98,2523.6,2175.8,5390,169,0,17.8,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-52,63,87.4,1,0,0.2,0,0,0,0,0,0,26.2,48.91,48.82,1000,0,0,0,0
80.992,14.61,0,1.5,0,93,0,5,34,205.76,26.2,26.3,45.5,98,2526.4,2175.8,5373,168,0,17.7,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-52,63,87.6,1,0,0.2,0,0,0,0,0,0,26,48.72,48.63,1000,0,0,0,0
81.093,14.61,0,1.5,0,93,0,5,34,209.02,25.5,26.3,44.9,98,2529.4,2175.8,5368,168,0,17.7,-1,-1,-1,-1,-1,-1,-52,63,87.6,1,0,0.2,0,0,0,0,0,0,25.9,48.6,48.47,1000,0,0,0,0
81.184,14.61,0,1.5,0,93,0,5,34,209.02,25.5,26.3,44.8,98,2533.3,2175.8,5360,168,0,17.8,-1,-1,-1,-1,-1,-1,-52,63,87.7,1,0,0.2,0,0,0,0,0,0,26,48.55,48.36,1000,0,0,0,0
81.277,14.61,0,1.5,0,93,0,5,34,209.02,25.5,26.3,44.8,98,2536.3,2175.8,5337,167,0,17.7,-1,-1,-1,-1,-1,-1,-52,63,87.9,1,0,0.2,0,0,0,0,0,0,25.9,48.37,48.24,1000,0,0,0,0
81.361,14.61,0,1.5,0,93,0,5,34,209.02,25.5,26.3,44.3,98,2539.2,2175.8,5322,167,0,17.7,-1,-1,-1,-1,-1,-1,-52,63,88,1,0,0.2,0,0,0,0,0,0,25.8,48.23,48.12,1000,0,0,0,0
81.464,14.61,0,1.5,0,93,0,5,34,212.28,25.5,26.3,44.2,98,2542.4,2175.8,5313,166,0,17.6,-1,-1,-1,-1,-1,-1,-52,63,88.2,1,0,0.2,0,0,0,0,0,0,25.8,48.08,47.97,1000,0,0,0,0
81.564,14.61,0,1.5,0,93,0,5,34,226.97,25.5,26.3,44.2,98,2545.6,2175.8,5304,166,0,17.6,-1,-1,-1,-1,-1,-1,-52,63,88.2,1,0,0.2,0,0,0,0,0,0,25.9,47.99,47.84,1000,0,0,0,0
81.672,14.61,0,1.5,0,93,0,5,34,222.07,25.5,26.3,43.8,98,2548.1,2175.8,5276,165,0,17.6,-1,-1,-1,-1,-1,-1,-52,63,88.4,1,0,0.2,0,0,0,0,0,0,25.7,47.8,47.68,1000,0,0,0,0
81.772,14.61,0,1.5,0,93,0,5,34,222.07,25.5,26.2,43.6,98,2552.6,2175.8,5256,165,0,17.5,-1,-1,-1,-1,-1,-1,-52,63,88.6,1,0,0.2,0,0,0,0,0,0,25.8,47.59,47.51,1000,0,0,0,0
81.871,14.61,0,1.5,0,93,0,5,34,217.18,25.5,26.2,43.7,98,2555.9,2175.8,5257,165,0,17.4,-1,-1,-1,-1,-1,-1,-52,63,88.7,1,0,0.2,0,0,0,0,0,0,25.8,47.51,47.37,1000,0,0,0,0
81.964,14.61,0,1.5,0,93,0,5,34,223.7,25.5,26.2,43.6,98,2559.3,2175.8,5240,164,0,17.4,-1,-1,-1,-1,-1,-1,-52,63,88.8,1,0,0.2,0,0,0,0,0,0,25.8,47.41,47.27,1000,0,0,0,0
82.064,14.61,0,1.5,0,93,0,5,34,223.7,25.5,26.2,43.5,98,2561.3,2175.8,5209,164,0,17.3,-1,-1,-1,-1,-1,-1,-51,63,89.1,1,0,0.2,0,0,0,0,0,0,25.9,47.21,47.12,1000,0,0,0,0
82.164,14.61,0,1.5,0,93,0,5,34,223.7,25.5,26.2,43.4,98,2564.3,2175.8,5206,163,0,17.3,-1,-1,-1,-1,-1,-1,-51,63,89,1,0,0.2,0,0,0,0,0,0,25.9,47.11,46.97,1000,0,0,0,0
82.264,14.61,0,1.5,0,93,0,5,34,220.44,25.5,26.2,43.4,98,2567.2,2175.8,5196,163,0,17.3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-51,63,89.3,1,0,0.2,0,0,0,0,0,0,25.9,46.98,46.83,1000,0,0,0,0
82.363,14.61,0,1.5,0,93,0,5,34,213.91,25.5,26.2,43.3,98,2570.5,2175.8,5197,162,0,17.3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-51,63,89.2,1,0,0.2,0,0,0,0,0,0,25.9,46.89,46.71,1000,0,0,0,0
82.465,14.61,0,1.5,0,93,0,5,34,220.44,25.5,26.2,43.2,98,2573.3,2175.8,5149,162,0,17.3,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,89.5,1,0,0.2,0,0,0,0,0,0,25.8,46.7,46.59,1000,0,0,0,0
82.551,14.61,0,1.5,0,93,0,5,34,222.07,25.5,26.2,42.8,98,2575.4,2175.8,5161,161,0,17.2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,89.5,1,0,0.2,0,0,0,0,0,0,25.8,46.56,46.44,1000,0,0,0,0
82.644,14.61,0,1.5,0,93,0,5,34,218.81,25.5,26.2,42.7,98,2577.9,2175.8,5128,161,0,17.2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,89.7,1,0,0.2,0,0,0,0,0,0,25.8,46.43,46.33,1000,0,0,0,0
82.731,14.61,0,1.6,0,93,0,5,34,225.34,25.5,26.2,42.7,98,2580.1,2175.8,5100,160,0,17.1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,90.1,1,0,0.2,0,0,0,0,0,0,25.8,46.19,46.15,1000,0,0,0,0
82.824,14.61,0,1.6,0,93,0,5,34,222.07,25.5,26.2,42.1,98,2582.6,2175.8,5120,160,0,16.9,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,89.9,1,0,0.2,0,0,0,0,0,0,25.5,46.13,46.02,1000,0,0,0,0
82.912,14.61,0,1.6,0,93,0,5,34,225.34,25.5,26.2,41.9,98,2585,2175.8,5095,160,0,16.9,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,90.1,1,0,0.2,0,0,0,0,0,0,25.5,46.02,45.91,1000,0,0,0,0
83.003,14.61,0,1.6,0,93,0,5,34,225.34,25.5,26.2,41.9,98,2588.6,2175.8,5070,159,0,16.9,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,90.3,1,0,0.2,0,0,0,0,0,0,25.6,45.9,45.8,1000,0,0,0,0
83.084,14.61,0,1.6,0,93,0,5,34,220.44,25.5,26.2,41.9,98,2590.2,2175.8,5073,159,0,16.9,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,90.4,1,0,0.2,0,0,0,0,0,0,25.6,45.8,45.68,1000,0,0,0,0
83.184,14.61,0,1.6,0,93,0,5,34,226.97,25.5,26.2,41.8,98,2592.8,2175.8,5066,159,0,16.9,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-50,63,90.4,1,0,0.2,0,0,0,0,0,0,25.7,45.7,45.56,1000,0,0,0,0
83.284,14.61,0,1.6,0,93,0,5,34,226.97,25.5,26.2,41.8,98,2594.8,2175.8,5050,158,0,16.8,-2,-2,-2,-2,-2,-2,-50,63,90.6,1,0,0.2,0,0,0,0,0,0,25.7,45.6,45.44,1000,0,0,0,0
83.384,14.61,0,1.6,0,93,0,5,34,220.44,25.5,26.2,41.8,98,2597.3,2175.8,5020,158,0,16.7,-2,-2,-2,-2,-2,-2,-50,63,90.8,1,0,0.2,0,0,0,0,0,0,25.8,45.44,45.31,1000,0,0,0,0
83.484,14.61,0,1.6,0,93,0,5,34,220.44,25.5,26.2,41.8,98,2599.9,2175.8,5030,157,0,16.8,-2,-2,-2,-2,-2,-2,-50,63,90.7,1,0,0.1,0,0,0,0,0,0,25.8,45.34,45.18,1000,0,0,0,0
83.572,14.61,0,1.6,0,93,0,5,34,220.44,25.5,26.2,41.7,98,2602.4,2175.8,5004,157,0,16.8,-2,-2,-2,-2,-2,-2,-50,63,91,1,0,0.1,0,0,0,0,0,0,25.6,45.1,45.07,1000,0,0,0,0
83.672,14.61,0,1.6,0,93,0,5,34,223.7,25.5,26.1,41.2,98,2605.4,2175.8,4980,156,0,16.7,-2,-2,-2,-2,-2,-2,-50,63,91,1,0,0.1,0,0,0,0,0,0,25.6,44.77,44.83,1000,0,0,0,0
83.772,14.61,0,1.6,0,92,0,5,34,228.6,25.5,26.1,41.1,98,2608,2175.8,4990,156,0,16.6,-2,-2,-2,-2,-2,-2,-49,63,91,1,0,0.1,0,0,0,0,0,0,25.6,44.57,44.66,1000,0,0,0,0
83.853,14.61,0,1.6,0,92,0,5,34,225.34,25.5,26,41,98,2610.2,2175.8,4954,156,0,16.5,-2,-2,-2,-2,-2,-2,-49,63,91.1,1,0,0.1,0,0,0,0,0,0,25.6,44.35,44.45,1000,0,0,0,0
83.944,14.6,0,1.6,0,92,0,5,34,225.34,25.5,25.9,41,98,2612.4,2175.8,4949,155,0,16.5,-2,-2,-2,-2,-2,-2,-49,63,91.1,1,0,0.1,0,0,0,0,0,0,25.7,44.03,44.22,1000,0,0,0,0
84.043,14.6,0,1.6,0,92,0,5,34,222.07,25.5,25.9,41,98,2614.6,2175.8,4939,155,0,16.4,-2,-2,-2,-2,-2,-2,-49,63,91.1,1,0,0.1,0,0,0,0,0,0,25.7,43.96,43.98,1000,0,0,0,0
84.132,14.6,0,1.6,0,92,0,5,34,228.6,25.5,25.7,40.9,98,2616.1,2175.8,4916,154,0,16.3,-2,-2,-2,-2,-2,-2,-49,63,91.1,1,0,0.1,0,0,0,0,0,0,25.8,43.45,43.65,1000,0,0,0,0
84.232,14.6,0,1.6,0,92,0,5,34,222.07,25.5,25.6,40.7,98,2619,2175.8,4899,154,0,16.2,-2,-2,-2,-2,-2,-2,-48,63,91.1,1,0,0.1,0,0,0,0,0,0,25.8,43.19,43.31,1000,0,0,0,0
84.332,14.6,0,1.6,0,92,0,5,34,228.6,25.5,25.5,40.6,98,2621.2,2175.8,4884,153,0,16.1,-2,-2,-2,-2,-2,-2,-48,63,91.2,1,0,0.1,0,0,0,0,0,0,25.8,42.8,42.97,1000,0,0,0,0
